iter	Logloss
0	0.6768015515
1	0.6645485544
2	0.651177636
3	0.6395489279
4	0.6286967459
5	0.6179874138
6	0.6066147876
7	0.5963891409
8	0.587410364
9	0.5782472356
10	0.5692545073
11	0.5610463147
12	0.5532246518
13	0.546171433
14	0.5403620256
15	0.5349095545
16	0.5291336491
17	0.5243379563
18	0.5193109508
19	0.5144371612
20	0.5093917901
21	0.5048309494
22	0.5000354803
23	0.4957046384
24	0.4924586898
25	0.4886632533
26	0.4852793722
27	0.4818324041
28	0.47891266
29	0.4760176286
30	0.4733968728
31	0.4704816689
32	0.4678025303
33	0.4653004089
34	0.4629839317
35	0.4603818377
36	0.4579809177
37	0.4558420509
38	0.4542205261
39	0.4522874284
40	0.4504358357
41	0.4485644348
42	0.4470210806
43	0.4455292536
44	0.4436872487
45	0.4421745007
46	0.4408821053
47	0.4397796461
48	0.438498066
49	0.4373329066
50	0.436040558
51	0.4346691512
52	0.4335606538
53	0.4324878075
54	0.4314977353
55	0.4304698891
56	0.4294499944
57	0.4285234687
58	0.4277276873
59	0.4269511324
60	0.4263261087
61	0.4257035162
62	0.4249633182
63	0.4239675196
64	0.423436444
65	0.4226270863
66	0.4221653568
67	0.4214214851
68	0.4208289258
69	0.4202668553
70	0.4194281652
71	0.4187656431
72	0.4182040834
73	0.4174444599
74	0.4167031522
75	0.4161894833
76	0.4155431252
77	0.4150237179
78	0.414319194
79	0.413778875
80	0.4132668356
81	0.4127211869
82	0.4123465057
83	0.4118939999
84	0.4114326899
85	0.4110436595
86	0.410682764
87	0.4101219607
88	0.4096790184
89	0.4092390859
90	0.4088479793
91	0.4083703534
92	0.4078203125
93	0.4075141094
94	0.4071039621
95	0.406819246
96	0.4064454283
97	0.406117527
98	0.4057214528
99	0.405358963
100	0.4049510786
101	0.4046621226
102	0.4043544475
103	0.4039486778
104	0.4035484831
105	0.4032568159
106	0.4029151241
107	0.4026489363
108	0.4024003109
109	0.4021674179
110	0.4018644192
111	0.4016110265
112	0.4013435117
113	0.4010544504
114	0.4007947227
115	0.400545988
116	0.4002799454
117	0.4000856467
118	0.3998852185
119	0.3996453429
120	0.3994543061
121	0.39920994
122	0.3989531448
123	0.3987179814
124	0.3983721693
125	0.398151053
126	0.3979526785
127	0.3977199174
128	0.3974802315
129	0.397213509
130	0.3969572551
131	0.396775802
132	0.3966491063
133	0.3964436385
134	0.3961762903
135	0.3959395232
136	0.3957027593
137	0.3954915454
138	0.395305185
139	0.3951016105
140	0.3949379749
141	0.3948471807
142	0.3946112931
143	0.3944062549
144	0.3941785808
145	0.3939931662
146	0.3938732536
147	0.3935828341
148	0.3934211998
149	0.3932817824
150	0.3930772432
151	0.3929523443
152	0.3928345607
153	0.392648431
154	0.3924965926
155	0.392309121
156	0.3921045596
157	0.391872116
158	0.3916717277
159	0.3915058223
160	0.3912392464
161	0.3909464014
162	0.3907978584
163	0.3906912515
164	0.3904924961
165	0.3903526317
166	0.390096703
167	0.3898481868
168	0.3896210373
169	0.3894925934
170	0.3893796045
171	0.3891981974
172	0.3890555554
173	0.388852616
174	0.3887223259
175	0.3885655512
176	0.3884007517
177	0.3882299088
178	0.3879989573
179	0.3877997632
180	0.3876100439
181	0.3874175326
182	0.3872219226
183	0.3871823226
184	0.387085673
185	0.3869442075
186	0.3866772715
187	0.3865544941
188	0.3864077102
189	0.3862701713
190	0.3861880602
191	0.3860548626
192	0.385934628
193	0.3857828202
194	0.3855976473
195	0.3853844083
196	0.3852445519
197	0.3851342668
198	0.3850198589
199	0.384919538
200	0.3848825147
201	0.384755438
202	0.3845386496
203	0.3844176191
204	0.3841911339
205	0.3840417933
206	0.3838112045
207	0.3837391331
208	0.3836313656
209	0.3834876613
210	0.3833073293
211	0.3830644266
212	0.3829124467
213	0.3827425044
214	0.3826131204
215	0.3824997382
216	0.3823933702
217	0.382322227
218	0.3822626063
219	0.382107916
220	0.3820215901
221	0.381829109
222	0.3817413785
223	0.3814775222
224	0.3812235483
225	0.381068004
226	0.3809383552
227	0.3807674345
228	0.3805889377
229	0.3804215789
230	0.3802724729
231	0.3800380432
232	0.3798585542
233	0.3796735313
234	0.3795580985
235	0.3794376571
236	0.379213688
237	0.3790357948
238	0.3789522396
239	0.3788426671
240	0.3787512244
241	0.3785468848
242	0.3784678582
243	0.3783806632
244	0.3781344861
245	0.3779257569
246	0.3777626474
247	0.3776413758
248	0.3775438318
249	0.3774316154
250	0.3773504886
251	0.3772021407
252	0.3769843971
253	0.3768841395
254	0.3768143076
255	0.3766118317
256	0.3765001169
257	0.3763148389
258	0.3761638714
259	0.3760375162
260	0.3759168279
261	0.3757442029
262	0.3755852141
263	0.3754764629
264	0.3754176609
265	0.3753493738
266	0.3752353846
267	0.3751317275
268	0.3750246158
269	0.3749443786
270	0.3747457699
271	0.3746010428
272	0.3745048506
273	0.3744142893
274	0.3743107571
275	0.3741958826
276	0.3741318094
277	0.3740160783
278	0.3738637623
279	0.3737558355
280	0.3736460282
281	0.3735145331
282	0.3734167396
283	0.3733365719
284	0.373193662
285	0.373086787
286	0.372852874
287	0.3727032631
288	0.3725722153
289	0.3724553527
290	0.3722048354
291	0.3720425798
292	0.3719489164
293	0.3717939095
294	0.3716979243
295	0.3716064637
296	0.3714735331
297	0.3714229969
298	0.3712930722
299	0.3711150899
300	0.3709354845
301	0.3707490186
302	0.3706351248
303	0.3705577484
304	0.3703651315
305	0.3702543774
306	0.3701101971
307	0.3699813624
308	0.3698951736
309	0.3697481126
310	0.3696692132
311	0.3694858863
312	0.36929633
313	0.3691297153
314	0.3690006744
315	0.3689455907
316	0.3688440419
317	0.3687380899
318	0.3685745496
319	0.3684028629
320	0.3682640188
321	0.3681180092
322	0.3679088791
323	0.3677424306
324	0.3675264239
325	0.3673869568
326	0.3671896101
327	0.3671269885
328	0.3670804943
329	0.367025917
330	0.3669548823
331	0.366872502
332	0.3667466329
333	0.3666182319
334	0.3664334148
335	0.3663436
336	0.3662104198
337	0.3661156144
338	0.3660276863
339	0.3658514719
340	0.3657174106
341	0.3655984882
342	0.3655623973
343	0.3654017262
344	0.3652667184
345	0.3651935203
346	0.3650431904
347	0.3648887801
348	0.364761582
349	0.3646078938
350	0.3644917709
351	0.3643817328
352	0.3642710496
353	0.3642019437
354	0.3640410943
355	0.363855194
356	0.363705985
357	0.3635528222
358	0.3633976172
359	0.3632771269
360	0.3631229679
361	0.3630303985
362	0.3629364598
363	0.3628136828
364	0.3626710178
365	0.3625457711
366	0.3624684898
367	0.3623232541
368	0.3622336404
369	0.3621882864
370	0.3621006939
371	0.361971843
372	0.361819532
373	0.3615818186
374	0.3615012837
375	0.3612828936
376	0.3610160928
377	0.3608869887
378	0.3606973827
379	0.3605166287
380	0.3604201103
381	0.3602334588
382	0.3601373708
383	0.3600546533
384	0.3599003847
385	0.3597647858
386	0.3596240002
387	0.3595487006
388	0.3594196423
389	0.3593263468
390	0.3591423582
391	0.3589754284
392	0.358865527
393	0.3587019018
394	0.3585741962
395	0.3584497625
396	0.3583065818
397	0.3581541622
398	0.3579933088
399	0.3578643885
400	0.357672019
401	0.3575300606
402	0.3573526686
403	0.3572329557
404	0.3571277778
405	0.3570536538
406	0.3569228085
407	0.3568249208
408	0.3566746378
