iter	Passed	Remaining
0	5	5528
1	10	5380
2	16	5447
3	21	5455
4	27	5484
5	33	5468
6	38	5483
7	44	5464
8	50	5547
9	56	5599
10	61	5555
11	66	5505
12	72	5500
13	78	5516
14	84	5544
15	90	5552
16	95	5531
17	101	5539
18	107	5527
19	113	5543
20	118	5545
21	124	5532
22	129	5520
23	135	5511
24	141	5507
25	147	5519
26	153	5519
27	159	5522
28	164	5510
29	170	5508
30	177	5534
31	183	5549
32	189	5541
33	194	5532
34	200	5537
35	206	5537
36	213	5549
37	219	5552
38	224	5541
39	230	5531
40	236	5524
41	242	5525
42	248	5524
43	254	5522
44	259	5515
45	265	5506
46	271	5502
47	277	5507
48	283	5500
49	290	5528
50	299	5579
51	306	5582
52	313	5602
53	320	5616
54	326	5606
55	332	5602
56	338	5595
57	344	5595
58	350	5589
59	356	5579
60	361	5567
61	367	5556
62	372	5543
63	378	5534
64	384	5524
65	389	5516
66	393	5483
67	399	5470
68	404	5458
69	410	5455
70	416	5448
71	421	5437
72	427	5425
73	432	5415
74	438	5409
75	444	5410
76	452	5419
77	458	5414
78	463	5406
79	469	5397
80	475	5390
81	480	5381
82	486	5374
83	491	5362
84	497	5355
85	503	5354
86	509	5346
87	515	5340
88	520	5332
89	526	5324
90	532	5318
91	538	5316
92	544	5311
93	550	5305
94	556	5301
95	562	5293
96	567	5285
97	573	5281
98	579	5271
99	585	5265
100	590	5257
101	596	5249
102	601	5240
103	607	5233
104	612	5223
105	618	5217
106	624	5208
107	629	5199
108	635	5194
109	641	5193
110	647	5184
111	652	5174
112	658	5168
113	664	5163
114	670	5156
115	675	5149
116	682	5149
117	688	5147
118	694	5143
119	700	5136
120	706	5133
121	712	5127
122	718	5121
123	723	5113
124	729	5104
125	734	5095
126	740	5088
127	745	5079
128	752	5081
129	758	5075
130	763	5066
131	769	5060
132	775	5052
133	781	5052
134	787	5048
135	793	5040
136	798	5032
137	804	5027
138	810	5020
139	816	5016
140	822	5008
141	825	4986
142	830	4977
143	836	4971
144	841	4964
